フレーム数,全特徴点,OpenCV結果,自作結果,被り
1,178,163,169,114
2,180,178,170,0
3,178,180,172,0
4,183,178,179,1
5,181,183,173,0
6,188,181,182,0
7,180,188,174,2
8,183,180,174,4
9,181,183,174,2
10,191,181,182,3
11,182,190,175,2
12,188,182,178,1
13,186,188,181,1
14,185,186,177,2
15,185,185,179,1
16,182,185,173,2
17,186,182,179,1
18,188,186,180,0
19,186,188,180,0
20,177,186,167,1
21,180,177,174,2
22,183,180,170,0
23,188,183,176,1
24,187,188,175,1
25,185,187,176,0
26,184,185,176,3
27,180,184,170,1
28,190,180,176,1
29,182,190,172,0
30,182,182,173,1
31,185,182,173,2
32,187,185,175,0
33,188,187,177,0
34,185,188,164,1
35,189,185,165,2
36,186,189,176,2
37,190,186,177,1
38,193,190,184,2
39,190,193,177,0
40,182,189,168,2
41,190,182,176,2
42,197,190,183,1
43,197,197,187,1
44,203,197,191,3
45,203,203,186,0
46,205,203,196,2
47,198,205,188,1
48,194,198,180,1
49,207,194,195,0
50,194,207,183,1
51,186,194,173,1
52,198,186,184,1
53,199,198,181,1
54,197,199,177,2
55,195,197,180,1
56,182,195,169,0
57,191,182,177,0
58,195,191,175,2
59,192,195,173,3
60,194,192,177,2
61,191,194,177,0
62,197,191,178,1
63,201,197,183,1
64,201,201,181,0
65,203,201,183,1
66,206,203,189,2
67,203,206,192,1
68,204,203,194,1
69,204,204,189,1
70,202,204,184,1
71,198,202,180,3
72,204,198,187,1
73,198,204,180,1
74,199,198,177,1
75,200,199,180,1
76,198,200,180,2
77,203,198,189,0
78,207,203,195,2
79,201,207,188,0
80,204,201,188,2
81,207,204,185,1
82,198,207,172,2
83,206,198,179,1
84,205,206,184,1
85,208,205,191,1
86,205,208,181,2
87,199,205,179,1
88,198,199,177,3
89,196,198,176,1
90,191,196,174,2
91,205,191,186,3
92,199,205,180,0
93,201,199,177,1
94,197,201,177,2
95,203,197,185,2
96,201,203,174,1
97,198,201,181,1
98,199,198,174,2
99,194,199,167,1
100,198,194,173,2
101,180,198,157,2
102,167,180,140,1
103,183,167,159,1
104,178,183,155,1
105,187,178,161,1
106,182,187,158,1
107,186,182,164,2
108,184,186,160,2
109,183,184,160,1
110,189,183,165,3
111,196,189,177,1
112,194,196,172,3
113,194,193,178,1
114,196,193,174,2
115,197,196,174,1
116,206,197,179,1
117,209,205,183,2
118,204,209,179,2
119,207,204,182,2
120,187,206,168,1
121,193,187,173,1
122,196,193,176,1
123,205,196,184,1
124,207,205,175,1
125,196,207,175,1
126,194,196,175,2
127,193,194,176,1
128,194,193,174,1
129,191,194,170,1
130,184,191,162,0
131,183,183,164,1
132,185,183,165,2
133,182,185,158,1
134,180,182,158,1
135,196,180,174,1
136,201,196,179,0
137,204,201,179,3
138,207,204,184,4
139,201,207,179,2
140,178,201,155,1
141,201,178,180,1
142,202,201,182,2
143,203,202,185,0
144,203,203,185,0
145,199,203,179,1
146,186,198,171,1
147,175,185,157,0
148,197,174,177,1
149,190,193,172,1
150,198,190,171,1
151,192,198,173,1
152,190,192,171,0
153,191,190,174,1
154,194,191,177,0
155,199,194,179,3
156,202,199,185,1
157,200,202,181,1
158,205,200,184,1
159,206,205,189,2
160,201,206,181,1
161,199,201,181,3
162,191,199,174,2
163,191,191,175,1
164,196,191,179,1
165,199,196,181,2
166,194,199,178,1
167,196,194,180,1
168,190,196,173,1
169,191,190,173,2
170,193,191,169,2
171,197,193,175,1
172,199,195,186,1
173,209,199,195,0
174,206,209,189,1
175,200,206,189,1
176,207,200,194,2
177,203,207,190,2
178,197,203,184,0
179,198,197,184,1
180,196,198,182,2
181,202,196,191,1
182,199,202,182,3
183,206,199,187,2
184,200,206,184,0
185,198,200,185,0
186,197,198,184,2
187,194,197,183,3
188,198,194,184,1
189,199,198,185,2
190,206,199,197,2
191,205,206,194,4
192,188,205,178,1
193,192,188,180,1
194,192,192,179,0
195,197,192,179,1
196,202,197,189,2
197,203,202,193,1
198,206,203,190,0
199,197,206,185,1
200,201,197,191,1
201,199,201,189,1
202,199,199,186,2
203,205,199,191,2
204,210,204,194,1
205,203,208,187,1
206,199,203,186,1
207,195,197,184,3
208,192,194,182,0
209,191,191,183,0
210,179,189,167,0
211,184,179,172,2
212,181,184,170,2
213,185,181,172,1
214,187,185,180,1
215,189,187,182,0
216,189,189,184,1
217,190,189,181,1
218,195,186,186,1
219,198,195,195,1
220,194,197,186,2
221,195,193,186,2
222,202,193,194,1
223,197,202,193,1
224,190,197,185,3
225,198,189,194,1
226,194,198,188,0
227,203,194,197,2
228,205,203,198,1
229,202,205,198,1
230,201,202,195,0
231,196,201,190,0
232,193,196,186,1
233,199,193,194,3
234,201,199,195,1
235,204,201,195,1
236,198,204,189,1
237,207,198,196,0
238,206,207,196,0
239,202,206,196,1
240,194,202,187,2
241,197,194,189,1
242,194,197,183,0
243,198,194,192,1
244,197,198,191,2
245,201,197,190,1
246,197,201,192,1
247,204,197,194,1
248,202,204,195,2
249,201,202,195,0
250,207,201,197,0
251,202,207,194,0
252,196,202,189,0
253,205,196,194,0
254,207,205,198,1
255,204,207,194,2
256,198,204,186,1
257,203,198,188,0
258,202,203,192,0
259,199,202,188,0
260,199,199,190,1
261,199,199,187,0
262,200,199,194,1
263,203,200,194,1
264,201,203,194,1
265,207,201,194,2
266,203,207,194,12
267,202,203,189,0
268,203,202,195,1
269,188,203,184,1
270,192,188,187,0
271,188,192,183,1
272,192,188,183,0
273,177,192,172,1
274,193,177,186,0
275,196,193,189,0
276,200,196,194,0
277,198,200,190,0
278,177,198,168,0
279,202,177,197,1
280,202,202,195,1
281,208,202,202,0
282,210,207,203,0
283,211,210,200,1
284,210,211,204,0
285,205,210,198,2
286,206,205,200,0
287,207,206,196,1
288,210,206,199,1
289,203,209,192,0
290,202,203,193,1
291,206,202,199,1
292,206,206,195,1
293,199,206,188,1
294,198,199,186,1
295,195,198,186,2
296,191,195,182,1
297,199,191,190,1
298,199,199,191,1
